rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,bom_film_id,imdb_id,tmdb_id,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region
m/10010329-splinter,Q2320121,Splinter,,,,,,tt1031280,13220.0,,,,,,,,,,,
m/10010334-leaves_of_grass,Q1810793,Leaves of Grass,,,,,leavesofgrass,tt1151359,12834.0,,,,,,,,,,,
m/10010335-rab_ne_bana_di_jodi,,,,,,,,,,,,,,,,,,,,
m/10010458-proposal,Q108586,The Proposal,,,,,proposal,tt1041829,18240.0,,,,,,317400000.0,Q4917,,,,
m/10010552-gigantic,Q3105463,Gigantic,,,,,gigantic,tt1176251,14940.0,,,,,,,,,,,
m/10010568-fuel,Q5507120,Fuel,,,,,,tt0463990,13518.0,,,,,,,,,,,
m/10010571-hush,Q2565497,Hush,,,,,,tt1093369,20034.0,,,,,,,,,,,
m/1001063-anna_karenina,Q561208,Anna Karenina,,,,,annakarenina35,tt0026071,70881.0,,,,,,,,,,,
m/10010658-orphan,Q387414,Orphan,,,,,orphan09,tt1148204,21208.0,20000000.0,Q4917,,,P2130,41596251.0,Q4917,,,,
m/10010662-my_sisters_keeper,Q814771,My Sister's Keeper,,,,,mysisterskeeper,tt1078588,10024.0,,,,,,,,,,,
m/10010667-hangover,Q219315,The Hangover,Q1587838,The Hangover,,,hangover,tt1119646,18785.0,,,,,,467500000.0,Q4917,,,,
m/10010668-stepfather,Q2299344,The Stepfather,,,,,,tt0814335,19904.0,,,,,,,,,,,
m/10010675-departures,Q1044598,Departures,,,,,,tt1069238,16804.0,,,,,,,,,,,
m/10010680-boogie,Q4942837,Boogie,,,,,,tt1132578,39395.0,,,,,,,,,,,
m/10010692-ballerina,,,,,,,,,,,,,,,,,,,,
m/10010694-season_of_the_witch,Q848391,Season of the Witch,,,,,seasonofthewitch,tt0479997,23047.0,40000000.0,Q4917,,,P2130,,,,,,
m/10010703-shuttle,Q1155354,Shuttle,,,,,shuttle,tt0880648,17027.0,,,,,,,,,,,
m/10010760-miss_march,Q475136,Miss March,,,,,missmarch,tt1151922,19556.0,,,,,,,,,,,
m/10010782-american_affair,,,,,,,,,,,,,,,,,,,,
